name,street_address,google_map,restaurant_type,food_review,price_range,latitude,longitude,postal_code
Marseille,"630 Ninth Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7599110%2C-73.991356,French,4.3,$31 to $50,40.759987,-73.9912338,10036
Sarabeth's East,"1295 Madison Avenue New York, NY  10128",//www.google.com/maps/search/?api=1&query=40.7845480%2C-73.956095,American,4.2,$30 and under,40.7847977,-73.9556597,10128
The Capital Grille - NY ??Chrysler Center,"155 E 42nd Street Located in the Trylon Towers of The Chrysler Center New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7513190%2C-73.974901,Steakhouse,4.7,$50 and over,40.7511656,-73.9748837,10017
Hunt & Fish Club NYC,"125 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7567930%2C-73.984254,Steakhouse,4.6,$50 and over,40.7568129,-73.984243,10036
Ammos Estiatorio,"52 Vanderbilt Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7542670%2C-73.977181,Seafood,4.5,$31 to $50,40.7543343,-73.9773555,10017
T-BAR Steak & Lounge (Upper East Side),"1278 3rd Avenue New York, NY  10028",//www.google.com/maps/search/?api=1&query=40.7710000%2C-73.96,Steakhouse,4.5,$31 to $50,40.7707731,-73.9600923,10028
Bocca di Bacco (Hell's Kitchen - 54th St.),"828 9th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7661560%2C-73.986752,Italian,4.6,$30 and under,40.7661302,-73.9867853,10019
The Clocktower,"5 Madison Ave. New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7411290%2C-73.98777,English,4.4,$50 and over,40.7412504,-73.9875224,10010
Masseria dei Vini,"887-889 9th Ave. New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7684920%2C-73.985762,Italian,4.6,$31 to $50,40.7684477,-73.9857048,10019
Lexington Brass,"517 Lexington Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7552470%2C-73.972979,American,4.4,$31 to $50,40.7553,-73.9728788,10017
Serra by Birreria,"200 Fifth Avenue New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7420200%2C-73.989927,Italian,4,$30 and under,40.7419931,-73.9899357,10010
GAONNURI,"1250 BROADWAY 39th Floor New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7481350%2C-73.988038,Korean,4.4,$31 to $50,40.7476831,-73.9878697,10001
Obao,"647 9th Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7606000%2C-73.991223,Thai,4.3,$31 to $50,40.7606544,-73.991332,10036
Remi,"145 West 53rd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7624290%2C-73.980349,Italian,4.5,$31 to $50,40.7622408,-73.9798689,10019
Glass House Tavern,"252 West 47th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7598310%2C-73.986685,Contemporary American,4.3,$31 to $50,40.759833,-73.986698,10036
Dos Caminos - Third Avenue,"825 Third Avenue at 50th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7564780%2C-73.970271,Mexican,4.1,$31 to $50,40.7558722,-73.9701462,10022
Stella 34 Trattoria,"Macy?? at Herald Square 151 West 34th Street New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7501240%2C-73.988318,Italian,4.4,$30 and under,40.7507815,-73.9889593,10001
MR CHOW - 57th,"324 East 57th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7588750%2C-73.964281,Chinese,4.6,$50 and over,40.7587261,-73.9644708,10022
Casa Lever,"390 Park Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7595780%2C-73.97239,Italian,4.6,$50 and over,40.7597285,-73.9729477,10022
Jams - NYC,"1414 6th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7648320%2C-73.976823,American,4.2,$30 and under,40.7647578,-73.9765408,10019
Ousia,"629 W 57th St New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7714850%2C-73.994053,Mediterranean,4.4,$31 to $50,40.7709893,-73.9925681,10019
Rosa Mexicano - First Avenue,"1063 1st Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7589250%2C-73.962759,Mexican,4.4,$31 to $50,40.7589658,-73.9627039,10022
Red Cat,"227 Tenth Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7479920%2C-74.00417,American,4.6,$31 to $50,40.7481259,-74.0041907,10011
Ruth's Chris Steak House - New York City - Midtown,"148 West 51st Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7614000%2C-73.9821,Steakhouse,4.6,$31 to $50,40.7613323,-73.9821595,10019
Sea Fire Grill,"158 East 48th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7548880%2C-73.972435,Seafood,4.6,$31 to $50,40.7546919,-73.9722216,10017
Blue Water Grill,"31 Union Square West at 16th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7365330%2C-73.990786,Seafood,4.4,$31 to $50,40.7368125,-73.9911064,10003
Vaucluse,"100 East 63rd Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7649210%2C-73.967668,French,4.5,$31 to $50,40.7650225,-73.9676044,10065
LEGASEA,"485 Seventh Avenue New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7523580%2C-73.989319,Seafood,4.3,$50 and over,40.7522809,-73.9893607,10018
STK - NYC - Meatpacking,"26 Little West 12th St. New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7399000%2C-74.007395,Steakhouse,4.5,$31 to $50,40.7398399,-74.0071747,10014
Esca,"402 West 43rd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7591600%2C-73.992316,Italian,4.3,$30 and under,40.7592097,-73.9927457,10036
The Leopard at des Artistes,"1 West 67th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7734360%2C-73.978955,Italian,4.4,$50 and over,40.773502,-73.9789261,10023
21 Club,"21 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7602250%2C-73.97706,American,4.6,$50 and over,40.760533,-73.977397,10019
Benoit Restaurant and Wine Bar,"60 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7624850%2C-73.976843,French,4.5,$31 to $50,40.7624832,-73.9773402,10019
DaDong NY,"3 Bryant Park New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7535960%2C-73.983232,Chinese,4,$31 to $50,40.7548449,-73.9845597,10036
Lincoln Square Steak,"208 West 70th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7772340%2C-73.983146,Steakhouse,4.4,$50 and over,40.7775086,-73.9833154,10023
Club A Steakhouse,"240 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7605260%2C-73.96609,Steakhouse,4.7,$31 to $50,40.7600512,-73.9655781,10022
Anassa Taverna,"200 East 60th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7620370%2C-73.966063,Greek,4.4,$31 to $50,40.7619091,-73.9658824,10022
Cafe d'Alsace,"1695 2nd Ave (Corner of  88th Street & 2nd Ave) New York, NY  10128",//www.google.com/maps/search/?api=1&query=40.7790080%2C-73.950886,French,4.4,$31 to $50,40.7791721,-73.9510841,10128
Burke & Wills,"226 West 79th Street New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7833610%2C-73.979579,Australian,4.5,$31 to $50,40.7833649,-73.9795709,10024
Boucherie - Park Avenue South,"225 Park Ave South New York, NY  10003-1604",//www.google.com/maps/search/?api=1&query=40.7371080%2C-73.987891,French,4.2,$31 to $50,40.7371329,-73.9879502,10003
Natsumi Restaurant,"226 West 50th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7618480%2C-73.985039,Japanese,4.5,$31 to $50,40.7617073,-73.9852527,10019
Armani Ristorante 5th Avenue,"717 5th Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7621420%2C-73.974562,Italian,4.6,$31 to $50,40.7617242,-73.9739578,10022
Brasserie Ruhlmann,"45 Rockefeller Plaza New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7590000%2C-73.978,French American,4.4,$31 to $50,40.7591829,-73.9778279,10011
Docks Oyster Bar and Seafood Grill,"633 Third Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7497930%2C-73.974831,Seafood,4.3,$31 to $50,40.7497356,-73.9747149,10017
Chez Josephine,"414 West 42nd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7584870%2C-73.993562,French,4.3,$31 to $50,-73.9935856,10036,
Brasserie 8 1/2,"9 West 57th St. New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7632810%2C-73.974308,French,4.4,$31 to $50,40.763765,-73.9750139,10019
Churrascaria Plataforma Brazilian Steakhouse,"316 West 49th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7618550%2C-73.987024,Brazilian Steakhouse,4.6,$50 and over,40.7620327,-73.9876634,10019
Riverpark,"450 East 29th Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7393840%2C-73.973595,American,4.5,$31 to $50,40.7398081,-73.9737283,10016
Casa Nonna - Midtown,"310 West 38th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7549900%2C-73.992876,Italian,4.4,$31 to $50,40.7549995,-73.9927853,10010
Farmer & The Fish - Gramercy,"245 Park Ave S New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7379780%2C-73.987496,Farm-to-table,4.2,$30 and under,40.7379741,-73.9876775,10003
